/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeCompletoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/SexoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/FormaTratamento;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/SiglaPartidoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/CodigoMandato;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/UfParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/NomeParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/NomeParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoPublicoNaLegAtual;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlFotoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParticular;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/EmailParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/CodigoExercicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/SiglaCausaAfastamento;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DescricaoCausaAfastamento;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UfParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataLeitura
"5573";"Abel Rebouças";"Abel Rebouças São José";"Masculino";"Senador ";"PDT";"492";"BA";"1º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5523";"Otto Alencar";"2º Suplente";"5575";"Marizete";;;;;;;;;;;;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"1º Suplente";"5615";"Gilberto Piselo";"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;;;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"2º Suplente";"5617";"Pastor Valadares";"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;;;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"2810";"2017-01-14";"2023-01-31";"TER";"Término do mandato";;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"2754";"2015-02-01";"2016-09-08";"LSP";"Licença Saúde-Particular";;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;;;
"5918";"Adilson Gomes";"Adilson Gomes Silva";"Masculino";"Senador ";;"526";"PE";"2º Suplente";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"Titular";"4545";"Jarbas Vasconcelos";"1º Suplente";"5917";"Fernando Dueire";;;;;;;;;;;;
"5625";"Adilson Silva dos Santos";"Adilson Silva dos Santos";"Masculino";"Senador ";"PEN";"497";"RS";"2º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5533";"Lasier Martins";"1º Suplente";"5623";"Christopher Goulart";;;;;;;;;;;;
"6026";"Afonso Parente";"Afonso Valter Parente Pinto";"Masculino";"Senador ";;"578";"RR";"2º Suplente";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"Titular";"6027";"Mecias de Jesus";"1º Suplente";"6025";"Enfermeira Roberta";;;;;;;;;;;;
"5923";"Alberto David";"Alberto da Silva David";"Masculino";"Senador ";;"522";"AP";"1º Suplente";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"Titular";"5012";"Randolfe Rodrigues";"2º Suplente";"5925";"Pastor Gaia";;;;;;;;;;;;
"5982";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"MDB";"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"1º Suplente";"5980";"Fernando Carvalho";"829";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";;;;;;"SE";
"5982";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"MDB";"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2º Suplente";"5981";"Major Ildomario";"829";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";;;;;;"SE";
"5982";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"MDB";"559";"SE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;;;;"829";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";"2888";"2019-02-01";;;;"SE";
"4610";"Alexandre Silveira";"Alexandre Silveira de Oliveira";"Masculino";"Senador ";"PSD";"495";"MG";"1º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5529";"Antonio Anastasia";"2º Suplente";"415";"Lael Varella";"899";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4610.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4610";;"sen.alexandresilveira@senado.leg.br";"2973";"2022-02-02";"2023-01-01";"AFO";"Afastamento do exercício";;
"3651";"Alfredo Cotait Neto";"Alfredo Cotait Neto";"Masculino";"Senador ";"DEM";"569";"SP";"1º Suplente";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"Titular";"5376";"Mara Gabrilli";"2º Suplente";"6007";"Ivani Boscolo";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3651.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/3651";;"alfredo.cotait@senador.leg.br";;;;;;;
"5962";"Alisson Taveira";"Alisson Taveira Rocha Leal";"Masculino";"Senador ";;"550";"RN";"1º Suplente";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"Titular";"5959";"Styvenson Valentim";"2º Suplente";"5963";"Coronel Margarida";;;;;;;;;;;;
